original,male,female
I survived the first year of college on frozen pizzas.,Prvý ročník vysokej školy som prežil na mrazených pizzách.,Prvý ročník vysokej školy som prežila na mrazených pizzách.
I always knew people liked me.,"Vždy som vedel, že ma ľudia majú radi.","Vždy som vedela, že ma ľudia majú radi."
I burst into tears over a minor setback.,Rozplakal som sa kvôli menšiemu neúspechu.,Rozplakala som sa kvôli menšiemu neúspechu.
I was cleaning the windows for three hours.,Tri hodiny som čistil okná.,Tri hodiny som čistila okná.
I tried to explain to them that it's important to know what material to wear at what time of year.,"Snažil som sa im vysvetliť, že je dôležité vedieť, aký materiál nosiť v ktorom ročnom období.","Snažila som sa im vysvetliť, že je dôležité vedieť, aký materiál nosiť v ktorom ročnom období."
I realized that my career is less important than my family.,"Uvedomil som si, že moja kariéra je menej dôležitá ako moja rodina.","Uvedomila som si, že moja kariéra je menej dôležitá ako moja rodina."
I haven't cried in 20 years.,Neplakal som 20 rokov.,Neplakala som 20 rokov.
I had to dress extra nicely for the sponsors meeting.,Na stretnutie sponzorov som sa musel obliecť extra pekne.,Na stretnutie sponzorov som sa musela obliecť extra pekne.
I repeatedly engaged in self-destructive behaviors.,Opakovane som sa zapájal do sebadeštruktívneho správania.,Opakovane som sa zapájala do sebadeštruktívneho správania.
"My partner prefers animals, but I wouldn't be able to live without human company.","Môj partner uprednostňuje zvieratá, ale bez ľudskej spoločnosti by som nedokázal žiť.","Môj partner uprednostňuje zvieratá, ale bez ľudskej spoločnosti by som nedokázala žiť."
I am determined to protect my loved ones.,Som odhodlaný chrániť svojich blízkych.,Som odhodlaná chrániť svojich blízkych.
I told you I'd hurt you.,"Povedal som ti, že ti ublížim.","Povedala som ti, že ti ublížim."
I killed a lion in the jungle.,Zabil som leva v džungli.,Zabila som leva v džungli.
I'm the last one to believe such lies.,"Som posledný, kto verí takýmto klamstvám.","Som posledná, kto verí takýmto klamstvám."
"I have always found it important to know my employees, their strengths and weaknesses and work with that appropriately.","Vždy som považoval za dôležité poznať svojich zamestnancov, ich silné a slabé stránky a vhodne s tým pracovať.","Vždy som považovala za dôležité poznať svojich zamestnancov, ich silné a slabé stránky a vhodne s tým pracovať."
I would never want my kids to fend for themselves.,"Nikdy by som nechcel, aby sa moje deti starali samy o seba.","Nikdy by som nechcela, aby sa moje deti starali samy o seba."
I didn't fear any threats.,Nebál som sa žiadnej hrozby.,Nebála som sa žiadnej hrozby.
I argued with the policeman about the parking ticket.,Pohádal som sa s policajtom o parkovací lístok.,Hádala som sa s policajtom o parkovací lístok.
"I could see she wasn't feeling well, so I made her some hot chocolate.","Videl som, že sa necíti dobre, tak som jej urobil horúcu čokoládu.","Videl som, že sa necíti dobre, tak som jej pripravila horúcu čokoládu."
I like listening to other people's dramas.,Rád počúvam drámy iných ľudí.,Rada počúvam drámy iných ľudí.
I carried all the luggage.,Nosil som všetku batožinu.,Nesla som všetku batožinu.
I gave them money and now I don't know how I'm going to make it to the end of the month.,"Dal som im peniaze a teraz neviem, ako to stihnem do konca mesiaca.","Dala som im peniaze a teraz neviem, ako to stihnem do konca mesiaca."
I can see that I've put on muscle mass.,"Vidím, že som nabral svalovú hmotu.","Vidím, že som nabrala svalovú hmotu."
I led the team towards victory.,Viedol som tím k víťazstvu.,Vedela som tím k víťazstvu.
I took my grandmother to see the flower exhibition.,Vzal som svoju babičku na výstavu kvetov.,Zobrala som svoju babičku na výstavu kvetov.
I never worried too much.,Nikdy som sa príliš netrápil.,Nikdy som sa príliš nebála.
I felt the situation was totally out of my control.,"Cítil som, že situácia je úplne mimo moju kontrolu.","Cítila som, že situácia je úplne mimo moju kontrolu."
I carried a lucky charm with me at all times.,Vždy som so sebou nosil talizman pre šťastie.,Vždy som so sebou nosila talizman pre šťastie.
I saved up a lot of money for the wedding.,Našetril som veľa peňazí na svadbu.,Ušetrila som veľa peňazí na svadbu.
I am very proud when people in my community are doing well.,"Som veľmi hrdý, keď sa ľuďom v mojej komunite darí.","Som veľmi hrdá, keď sa ľuďom v mojej komunite darí."
I had a hard time respecting authorities.,Mal som problém rešpektovať autority.,Mala som problém rešpektovať autority.
I slept with so many people.,Spal som s toľkými ľuďmi.,Spala som s toľkými ľuďmi.
I like to dress nicely.,Rád sa pekne obliekam.,Rada sa pekne obliekam.
I knew that my contributions were valuable for the company.,"Vedel som, že moje príspevky sú pre spoločnosť cenné.","Vedela som, že moje príspevky sú pre spoločnosť cenné."
I would often imagine having sex with strangers.,Často by som si predstavoval sex s cudzími ľuďmi.,Často by som si predstavovala sex s cudzími ľuďmi.
I had sex at various public places.,Mal som sex na rôznych verejných miestach.,Mala som sex na rôznych verejných miestach.
I mobilised others to come together for a common cause and make a positive impact on society.,"Zmobilizoval som ostatných, aby sa spojili pre spoločnú vec a mali pozitívny vplyv na spoločnosť.","Mobilizovala som ostatných, aby sa spojili pre spoločnú vec a mali pozitívny vplyv na spoločnosť."
"They have always praised my gentle spirit, and I tried to live up to it.",Vždy chválili môjho jemného ducha a ja som sa snažil podľa toho žiť.,Vždy chválili môjho jemného ducha a ja som sa snažila podľa toho žiť.
I babysat my sister's kids last weekend.,Minulý víkend som strážil deti mojej sestry.,Minulý víkend som strážila deti mojej sestry.
I did as they asked me to.,"Urobil som, ako ma požiadali.","Urobila som, ako ma požiadali."
I made the best choice based on the available data.,Na základe dostupných údajov som sa rozhodol najlepšie.,Na základe dostupných údajov som sa rozhodla najlepšie.
I am stunning.,Som ohromujúci.,Som ohromujúca.
I never hid my dirty mind.,Nikdy som neskrýval svoju špinavú myseľ.,Nikdy som neskrývala svoju špinavú myseľ.
I could not commit.,Nemohol som sa zaviazať.,Nemohla som sa zaviazať.
I'm friendly.,Som priateľský.,Som priateľská.
I calmly confronted a misunderstanding .,Pokojne som čelil nedorozumeniu.,Pokojne som čelila nedorozumeniu.
"I don't like to meddle in people's problems, but if someone attacks my loved ones I don't hesitate for a second.","Nerád sa miešam do problémov ľudí, ale ak niekto napadne mojich blízkych, neváham ani sekundu.","Nerada sa miešam do problémov ľudí, ale ak niekto napadne mojich blízkych, neváham ani sekundu."
I don't like to talk about commitments.,Nerád hovorím o záväzkoch.,Nerada hovorím o záväzkoch.
I had to get rid of the stain immediately.,Musel som sa okamžite zbaviť škvrny.,Musela som sa okamžite zbaviť škvrny.
I am always empathetic to people close to me.,"Vždy som empatický k ľuďom, ktorí sú mi blízki.","Vždy som empatická k ľuďom, ktorí sú mi blízki."
On weekends I worked in a nursing home.,Cez víkendy som pracoval v domove dôchodcov.,Cez víkendy som pracovala v domove dôchodcov.
I called a meeting so we could discuss the strategic plan.,"Zvolal som stretnutie, aby sme mohli prediskutovať strategický plán.","Zvolala som stretnutie, aby sme mohli prediskutovať strategický plán."
I donated a lot of money to various charities.,Venoval som veľa peňazí rôznym charitatívnym organizáciám.,Darovala som veľa peňazí rôznym charitatívnym organizáciám.
I feel that I'm good at solving problems.,"Mám pocit, že som dobrý v riešení problémov.","Mám pocit, že som dobrá v riešení problémov."
"I chose the car based on the specs, not the looks.","Auto som si vybral na základe špecifikácií, nie vzhľadu.","Auto som si vybrala na základe špecifikácií, nie vzhľadu."
I bought tickets for the hooligans sector.,Kúpil som si lístky do sektora chuligánov.,Kúpila som si lístky do sektora chuligánov.
I went to a conference.,Išiel som na konferenciu.,Išla som na konferenciu.
I don't like condoms.,Nemám rád kondómy.,Nemám rada kondómy.
I always strived for a promotion.,Vždy som sa snažil o povýšenie.,Vždy som sa snažila o povýšenie.
"As soon as my pay check came, I went shopping.","Hneď ako mi prišiel výplatný šek, išiel som nakupovať.","Hneď ako mi prišiel výplatný šek, išla som nakupovať."
I joined the military.,Vstúpil som do armády.,Vstúpila som do armády.
I signed up for a medieval swording workshop.,Prihlásil som sa do stredovekej šermiarskej dielne.,Prihlásila som sa do stredovekej šermiarskej dielne.
"I earned a lot more than my partner, and now my partner is a stay-at-home parent.",Zarobil som oveľa viac ako môj partner a teraz je môj partner rodičom v domácnosti.,Zarobila som oveľa viac ako môj partner a teraz je môj partner rodičom v domácnosti.
I am dedicated.,Som oddaný.,Som oddaná.
I made a resolution not to buy leather clothes or shoes because it is insensitive to animals.,"Dal som si predsavzatie, že nebudem kupovať kožené oblečenie alebo topánky, pretože je to necitlivé k zvieratám.","Dala som si predsavzatie, že nebudem kupovať kožené oblečenie alebo topánky, pretože je to necitlivé k zvieratám."
I like it when the hairdresser massages my head.,"Mám rád, keď mi kaderník masíruje hlavu.","Mám rada, keď mi kaderník masíruje hlavu."
I had to cheer others up.,Musel som rozveseliť ostatných.,Musela som rozveseliť ostatných.
"I couldn't look, it made me feel sick.","Nemohol som sa pozerať, prišlo mi z toho zle.","Nemohla som sa pozerať, prišlo mi z toho zle."
I wanted to make more friends.,Chcel som si nájsť viac priateľov.,Chcela som si nájsť viac priateľov.
I like to divide the tasks.,Rád rozdeľujem úlohy.,Rada rozdeľujem úlohy.
I led my team to success.,Viedol som svoj tím k úspechu.,Priviedla som svoj tím k úspechu.
I impulsively quit my job without a backup plan.,Impulzívne som dal výpoveď bez záložného plánu.,Impulzívne som dala výpoveď bez záložného plánu.
I always went everywhere ahead of time.,Vždy som chodil všade v predstihu.,Vždy som chodila všade v predstihu.
I always thought that life is a game and you have to enjoy it.,"Vždy som si myslel, že život je hra a treba si to užívať.","Vždy som si myslela, že život je hra a treba si to užívať."
"I was thinking about you and me having sex, what do you say?","Myslel som na to, že my a ty máme sex, čo povieš?","Myslela som na to, že my a ty máme sex, čo povieš?"
I rented the house for them.,Prenajal som im dom.,Prenajala som im dom.
"My friends have told me that I am empathetic, and I have been very touched by that.","Moji priatelia mi povedali, že som empatický a veľmi sa ma to dotklo.","Moji priatelia mi povedali, že som empatická, a veľmi sa ma to dotklo."
I was in charge of the whole project.,Mal som na starosti celý projekt.,Mala som na starosti celý projekt.
I had no doubt.,nepochyboval som.,Nepochybovala som.
I spent hours in front of the mirror.,Strávil som hodiny pred zrkadlom.,Strávila som hodiny pred zrkadlom.
I frequently deferred to others' opinions and preferences.,Často som sa podriaďoval názorom a preferenciám iných.,Často som sa podriaďovala názorom a preferenciám iných.
"Despite being in a committed relationship, I found it difficult to resist strangers.","Napriek tomu, že som bol v oddanom vzťahu, bolo pre mňa ťažké odolávať cudzím ľuďom.","Napriek tomu, že som bola v oddanom vzťahu, bolo pre mňa ťažké odolávať cudzím ľuďom."
